title,year,plot
"A ¥1,000,000,000,000,000 Ransom",2015,Not available
A 2nd Chance,2011,A young girl and her coach overcome adversity to make their way into the National Australian Gymnastics Squad.
A Aa,2016,Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.
A Babysitter's Guide to Monster Hunting,2020,A babysitter embarks on a mission to save a child who's been abducted by monsters.
A Bad Son,1980,Bruno is released from prison. He looks for a job and tries to start a new life. His first stop is at his father's apartment.
A Bag of Marbles,1975,Two young French Jewish boys and their family struggle to survive the WWII and the invasion of Germans.
A Balloon for Allah,2011,"When the Norwegian-Turkish filmmaker Nefise Özkal Lorentzen was little, she used to send letters to Allah by balloon. Now she wants to send a new balloon to change the role of women in the Muslim culture. By following her grandmother's path as a 'sufi', she embarks on a journey to rediscover the Islam of her mother's mother. The film switches between her actual journey and her dreams. She experiences the diversity of Cairo, Istanbul and Oslo by drinking tea with the Egyptian feminist Nawal El Saadawi, finding hope and inspiration in the life of the 90-year-old author Gamal al-Banna and meeting a young Salafist. On her journey through the labyrinth, it dawns on Nefise that Islam is not the only place to search, but that there are correlations between the three Abrahamic religion and the oppression of women."
A Banana At This Time of Night,2018,"Hisashi Tanaka is a medical student in Hokkaido Prefecture, Japan. He does volunteer work and gets to know Yasuaki Kano at the hospital. Yasuaki has suffered from muscular dystrophy since ..."
A Banquet,2021,"Widowed mother Holly is radically tested when her teenage daughter Betsey experiences a profound enlightenment and insists that her body is no longer her own, but in service to a higher power. Bound to her newfound faith Betsey refuses to eat, but loses no weight. In an agonising dilemma torn between love and fear, Holly is forced to confront the boundaries of her own beliefs."
A Barefoot Dream,2010,"After a series of pipe dream ventures go belly up, retired pro soccer player Kim Won-kang happens to visit East Timor, where he finds children playing the game barefoot on rocky pitches. Sensing a new business opportunity on finding the country doesn't have a single sporting goods store, he embarks on a scheme to get rich quick by purveying athletic shoes to the unshod youngsters. Sadly, no one there can afford to pay $60 for a pair of shoes, even on a generous installment plan, and before he knows it, he is reduced to coaching a team of ragged 10-year-olds and prospects are looking grim."
A Bear Named Winnie,2004,"It's 1914, the beginning of WWI. In White River, Ontario, en route to a training camp in Valcartier, Québec, with the Winnipeg section of the Canadian Army Veterinary Corps, Army Lieutenant Harry Colebourn, who has a natural rapport with animals, saves a black bear cub from being killed by a hunter, who killed the cub's mother. Not knowing what else to do with the cub, Harry brings her along to camp to act as the unit's mascot, who he names Winnie - short for Winnipeg. Most of the men in the unit bond with Winnie, but having such a mascot is against the wishes of the head of the Canadian Expeditionary Force's veterinary division, Colonel Barret. Barret is a tough but fair man, who may have more problems than Winnie in the form of the Expeditionary Force's commanding officer, General Hallholland, a dipsomaniac who uses his position in the army for his own vainglorious purposes. Winnie's stay with Harry and the unit is not always a smooth one, especially in trying to stay under Barret's radar. Over time, Winnie becomes completely tame, craving human companionship, which Harry realizes is a problem as the unit is scheduled to get shipped overseas to England and eventually to France to do their duty on the front lines. Sending Winnie back into the wild may no longer be a viable option, as Winnie has a mind of her own, but finding a home for her where she will get the human companionship she craves or else possibly die from not having what she needs - which means an owner that understands that she's no ordinary bear - may be a problem."
A Beautiful Curse,2021,"On an island struck with a sleeping phenomenon, a rogue visitor falls for one of the inhabitants, not realising the personal danger it brings"
A Beautiful Day in the Neighborhood,2019,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.
A Beautiful Mind,2001,"From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize."
A Beautiful Now,2015,"""Beautiful Now"" tells the story of a passionate dancer , ROMY (Abigail Spencer), who finds herself contemplating extreme measures when she reaches a crossroads in her life. As she hangs on the razor's edge between reality and fantasy, her fractured group of friends (Cheyenne Jackson, Collette Wolfe, Elena Satine, Patrick Heusinger and Sonja Kinski) reunite and embark on a shared journey into vibrant and intense memories of their past, helping Romy answer the question: ""if your life flashed before your eyes, would you like what you see?""."
A Beautiful Place to Die A Martha's Vineyard Mystery,2020,A retired Boston PD detective and the acting medical examiner at Martha's Vineyard work together to solve the murder of a mysterious young man.
A Beautiful Planet,2016,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence.
A Beautiful Secret,2002,"La amada leyenda de la pantalla, Katy Jurado, la ilumina una última vez en la historia de una amistad especial que se desarrolla entre una mujer solitaria de edad y Jorge, un adolescente rebelde en la ciudad de México en 1984. A través de la utilización de flashbacks, Jorge, ahora un adulto, recuerda las lecciones inolvidables y las conversaciones a cerca de la naturaleza humana y la sociedad en general. Esta película fascinante proporciona un hermoso tributo a la legendaria actriz en una historia de corazón que le hará reír y reflexionar."
A Bee in August,2007,"Harris, his wife, his mistress and his half German sister arrive with a boat to a distant Aegean island, assessable only by boat. The boat man forgets them and they are stranded there. Harris gets stung by a bee, and he develops an allergy. He gets terribly swollen and his alter ego emerges. Suddenly all secrets, hidden truths and feelings come into the open."
A Belfast Story,2013,"In a city left torn by war, when a series of murders awaken dormant memories, many fear the worst. Colm Meaney (""Hell On Wheels"", ""Layer Cake"", ""Con Air"") and Malcolm Sinclair (""Casino Royale"", ""V for Vendetta"") star in a film set between war and peace. Times are changing, car bombs are less common and terrorists find themselves out of work, but old habits die hard. And while most go quietly into the night, one man must find the few who won't comply. A greying assassin has stopped walking his son to school. With motives buried deep in the Irish conflict, everyone is about to discover that the past matters to someone..."
