title,year,plot
C U Soon,2020,Jimmy meets Anu on an online dating website and decides to marry her. Jimmy's mother entrusts his cousin Kevin to get details about Anu. Now its Kevin's turn to search for his cousin's ...
CAM,2021,"Disease control discover that food at a local meat processing plant has been contaminated by a rare parasite. Trainee tactical police are sent in to evacuate the workers with a civilian camera crew to film the operation. All is not what it appears, for what they discover could have disastrous repercussions on a world wide scale. Based on actual footage from Military and Police operations that took place last October."
CB Hustlers,1976,Truckdrivers help each other avoid the police by creating roadblocks by communicating on their CB radios.
CC & Company,1970,"Motorcycle mechanic C.C. Ryder joins ""The Heads,"" an outlaw biker gang. Fellow gang members menace fashion journalist Ann when her limo breaks down in the desert, but C.C. comes to her rescue. The bikers disrupt a motocross event tied in with a fashion shoot, but C.C. enters the competition under Ann's admiring eye. His win puts him at odds with Moon, leader of ""The Heads."" When C.C. leaves with his cut of the purse, the bikers kidnap Ann, and C.C. races Moon to win her freedom."
CHOMPS,1979,"A young man invents a robot dog that has super strength, x-ray vision and can detect crimes being committed. A greedy businessman tries to steal the invention from him."
CHUD II Bud the Chud,1989,"A couple of teenagers break into a secret government science lab and steal a frozen corpse for a high school prank and accidentally awaken the corpse which turns out to be a CHUD, ironically named Bud, who goes on a killing spree and making his victims also cannibalistic CHUD's and its up to the teens to stop him."
CRAZY,2005,"Born Christmas Day 1960, Zac Beaulieu is the fourth of five sons of Gervais and Laurianne Beaulieu. Zac feels somewhat disconnected to his brothers, all of whom are different from each other. They include the bookworm Christian who is the eldest, the dumb jock Antoine who is third, and the youngest Yvan. But Zac has the most contempt for his second eldest brother, the shiftless druggie Raymond. To his devout Catholic mother, Zac is her miracle son, both for being born the same day as Jesus Christ (a fact which Zac has always hated), and because a Tupperware-selling mystic once told her that he has the power to heal. Laurianne has always coddled Zac, the two who have a special if unspoken bond. But Zac wants more to please his father, who wants more than anything in his sons that they grow up to be man's men and not sissies. As Zac goes through his mid-teens to early twenties, Zac isn't sure if he can live up to the ideals of either his mother or especially his father. A young man with stress-induced asthma, Zac just wants to be what he considers normal, which includes getting rid of his asthma. But more importantly, he wants to get rid of the underlying thoughts that he has and which most going through puberty have, but that for him are becoming more prevalent as he grows older."
CSA The Confederate States of America,2004,"Set in an contemporary alternative world where the Confederate States of America managed to win the American Civil War, a British film documentary examines the history of this nation. Beginning with its conquest of the northern states, the film covers the history of this state where racial enslavement became triumphant and the nation carried sinister designs of conquest. Interspersed throughout are various TV commercials of products of a virulent racist nature as well as public service announcements promoting this tyranny. Only at the end do you learn that there is less wholly imagined material in the film than you might suspect."
C'è tempo,2019,Not available
C'era una volta il crimine,2022,Not available
C'est ça l'amour,2018,"Forbach, Eastern France. Present day. Since his wife walked out to the family, Mario has raised their two daughters of his own. Frida, 14, blames him for her mother leaving. Niki, 17, ..."
C'est déjà l'été,2010,"C'EST DÉJÀ L'ÉTÉ is a portrait of a family, but above all the story of a teenager who's life seems to be pushed of track by the lack of a normal family and desperately, purely by instinctive battle, tries to lift himself out of his wretched, semi-feral existence."
C'est dur pour tout le monde,1975,"A boss meets a young Turk,Dan, in the toilets of a restaurant. He hires him in his business ,he runs an advertising agency .Dan,the young man ,has strange ideas which disconcert his boss.He calls the owner's decisions into question ,and soon , he is fired .Undaunted, he decides to create his own agency with a revolutionary concept:to tell the truth ,the whole truth about the products .Now, Dan is in competition with his former boss."
C'est la vie,2001,"Dimitri joins La Maison, a place where people are welcomed for whom medicine can not do anything anymore. There he meets Suzanne, a volunteer who is dedicated to supporting people at the end of their lives."
C'est la vie,1990,Not available
"C'est la vie, mon chéri",1993,"A jazz musician (Lau Ching-Wan) who has problems in both his life and career breaks up with his girlfriend, and moves into a poor neighborhood. There, he meets a girl (Anita Yuen), who started being interested in him as of his saxophone skills. Their friendship turns into a romance, and he gets inspired to write songs again. However, Min discovers that she has an issue with her health-condition..."
C'est la vie!,2017,A hectic wedding party held in an 17th century French palace comes together with the help of the behind-the-scenes staff.
C'est mieux la vie quand on est grand,2008,A young boy accidentally kills his alcoholic mother and is sent to live in a foster home.
C'est pas parce qu'on n'a rien à dire qu'il faut fermer sa gueule,1975,"Max and Riton, 2 thieves make plan to steal money in a train station office. They will operate through the wall in the public toilets."
C'est Si Bon,2015,"Oh Geun-tae (JUNG Woo) is a country boy with a booming baritone who is discovered by aspiring singer-songwriter Lee Jang-hui (JIN Goo) and thrust into the bustling world of Seoul's iconic folk music café-C'est Si Bon. Unwittingly, he becomes the third member of the yet-to-debut ""C'est Si Bon Trio"" and the begrudging buffer between two rival musicians-the vocal genius, Song Chang-shik (JO Bok-rae), and the heartthrob, Yoon Hyeong-ju (KANG Ha-neul). Amidst the smoke and chatter of C'est Si Bon's youthful clientele, they meet aspiring actress Min Ja-young (HAN Hyo-joo) and find themselves completely bewitched. Will their muse inspire them to create legendary music, or tear them apart before they even begin?"
C'mon C'mon,2021,"When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles."
